Bird, MEX, f7f95e98-e391-4ecf-8af7-5dfeb1686857, 51, 6320, No update data, 9g3qx27xe5yw
Bird, MEX, 6b706d64-0df8-4829-b7f2-19558573cfcd, 58, 7849, No update data, 9g3qx35h682n
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 66, 9185, No update data, 9g3qx3hnsh70
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 52, 6847, No update data, 9g3qx2wzhe5m
Bird, MEX, 9c49f51f-daaf-49ba-89db-bc6e4a0f8077, 44, 5214, No update data, 9g3qx295zf6q
Bird, MEX, 4c72ff0e-855e-475c-96b5-bd46d93de265, 65, 9018, No update data, 9g3qx3m1p0h4
Bird, MEX, 2811d5ea-c155-4f13-bec6-b42b68a7bf57, 64, 8851, No update data, 9g3qx294kcxw
Bird, MEX, a428309e-32dd-4b83-8d2e-1898ddc18a04, 83, 12024, No update data, 9g3qx3m1qj3q
Bird, MEX, 1bd33212-824d-4683-97ca-9f9efbc02fdf, 46, 5530, No update data, 9g3qx2r604t9
Bird, MEX, ee015284-7f04-441f-9cab-83f6f1b20782, 56, 7110, No update data, 9g3qx2r33t5e
Bird, MEX, 9af2155c-55f9-44a2-8155-4f195560a4d6, 79, 10744, No update data, 9g3qx3nmuu3e
Bird, MEX, d87f509f-00e0-4db7-9fb7-05d5135af9db, 26, 2505, No update data, 9g3qx28chc33
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 98, 13746, No update data, 9g3qx3m6v2zv
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, 8f131170-e4a6-4a11-804c-9c5ceefad428, 54, 6794, No update data, 9g3qrrvdm4se
Bird, MEX, 0f1178ca-63e7-4f0f-92e6-c99a4faec8e2, 75, 10112, No update data, 9g3qx3me0w2c
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3m7ccnz
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3m7g0qd
Bird, MEX, caa94d6e-1ad4-49a6-a0db-9e31d9b03549, 66, 9185, No update data, 9g3qx3km48j4
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 49, 6004, No update data, 9g3qx3me4u57
Bird, MEX, a6ec7624-a835-4b3c-bb4d-5f1743766fd1, 58, 7426, No update data, 9g3qx2xu3byb
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 22, 1837, No update data, 9g3qx218uu33
Bird, MEX, 234939d4-0e76-49a8-9988-f35b2126ef93, 81, 11690, No update data, 9g3qx3nxe0ye
Bird, MEX, 50709b8a-8d1c-4f94-be44-47190d5b10c0, 70, 9853, No update data, 9g3qx2zgz391
Bird, MEX, 17b00273-1775-4c1c-a0e1-3e160d6d5686, 97, 13588, No update data, 9g3qx20wnv8s
Bird, MEX, c18697e4-4798-4c2e-9bd4-a884ebeb7e16, 37, 4342, No update data, 9g3qx2b3s3nh
Bird, MEX, eac57411-99d7-484b-bb8c-841ecc8b9078, 69, 9164, No update data, 9g3qrrzxcjpp
Bird, MEX, dbca5134-e66f-4f59-b6f3-213f913abdb9, 48, 5846, No update data, 9g3qx2b31mvn
Bird, MEX, 5f2aa98d-4826-4592-8133-c851aae61e6b, 55, 7348, No update data, 9g3qx8bp2bu0
Bird, MEX, c57045fd-eea9-4e7b-a8c8-f672c0c7c9d9, 60, 7742, No update data, 9g3qx33urz63
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 64, 8851, No update data, 9g3qrrdtp7bb
Bird, MEX, 257d0a26-c5c8-48a9-b6b2-2bb0e66d56a8, 51, 6680, No update data, 9g3qx2p8p7rq
Bird, MEX, 6bc7ded6-a8dd-4804-922f-2e42816a91a9, 51, 6680, No update data, 9g3qrrz7ftv5
Bird, MEX, 129ed5f7-a076-4cbd-b907-980c2ddfca2d, 46, 5530, No update data, 9g3qx3tbtxwn
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 79, 11356, No update data, 9g3qx0xbp4gg
Bird, MEX, a3d0e264-8279-4f80-aa56-0a04927f385b, 100, 14062, No update data, 9g3qrre9bx2u
Bird, MEX, 85ffc6e3-5a72-4643-9e2a-c1852749f066, 100, 14062, No update data, 9g3qrre9bn2x
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 46, 5530, No update data, 9g3qrrc4ycbf
Bird, MEX, 13673970-2381-46dd-8a2d-5172f7a26d8b, 84, 12191, No update data, 9g3qrre3z2zh
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 24, 2171, No update data, 9g3qrrby29yz
Bird, MEX, fc23dcdf-8930-4379-9a34-edfc4d785eb3, 78, 11189, No update data, 9g3qx3d228yc
Bird, MEX, e7708e59-dcf0-4fca-a82d-e329404ff3d8, 100, 14863, No update data, 9g3qx2088838
Bird, MEX, f8a4cf8d-1387-42e0-b2fb-a60e39185ada, 100, 14863, No update data, 9g3qx2088838
Bird, MEX, 3ccf89a9-9fc8-4c6e-acb5-a6eab614b5c9, 99, 14696, No update data, 9g3qx2088838
Bird, MEX, 2a2a60f0-21c9-4439-ae1a-270061cb7134, 100, 14863, No update data, 9g3qx2088838
Bird, MEX, f66c0b88-9df7-46e2-97be-cdc7976cdf87, 99, 14696, No update data, 9g3qx2088838
Bird, MEX, 11fc6572-9393-42a0-92c7-4f99f9c7e1df, 100, 14863, No update data, 9g3qx2088838
Bird, MEX, 10d1ce59-d4b5-4257-8c3b-a1030d1e62ff, 42, 5177, No update data, 9g3qx20731fp
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 71, 10020, No update data, 9g3qrrzyzbdd
Bird, MEX, 786abcfe-46b9-4225-a741-6d73bc9fc925, 88, 12859, No update data, 9g3qx3e5ys6e
Bird, MEX, a83e31e1-4970-4fa9-b4d2-0720a5ed4d7f, 88, 12859, No update data, 9g3qx3ehp4k0
Bird, MEX, 66ac3035-10e8-4175-9fe8-87b7742e296e, 66, 9185, No update data, 9g3qrrc1kf97
Bird, MEX, 5b5e1827-50ba-4c7a-b925-00f5ec0d0744, 61, 8350, No update data, 9g3qrrzuggbp
Bird, MEX, e9041c55-aa4a-423f-a642-3a56b81f061c, 43, 5344, No update data, 9g3qrr9txtu0
Bird, MEX, ba3c36a0-2733-4cac-bf52-72101d2fd26f, 76, 10855, No update data, 9g3qrr9v2wqf
Bird, MEX, eba31f36-07a3-4ec8-a5dd-be1cd6ac7cc1, 45, 5372, No update data, 9g3qrre0wszd
Bird, MEX, ef4f7d1d-dee0-4495-aebe-55222feb35c5, 83, 11376, No update data, 9g3qrrkmv4kt
Bird, MEX, d5cfb9a4-3675-40e4-999a-2c08cb8f23fd, 66, 8690, No update data, 9g3qrr9em6xf
Bird, MEX, cb40c718-e0c4-4168-afc9-7f333dc7e1ed, 43, 5344, No update data, 9g3qrr97x60c
Bird, MEX, e8e476fe-49de-48ca-b318-602fdacb270e, 52, 6478, No update data, 9g3qx390pn7c
Bird, MEX, 7dcae05c-57ee-4587-95a8-cc788984cb61, 78, 10586, No update data, 9g3qx3u27zhb
Bird, MEX, 301fdafb-9156-4f03-a87b-d3b71699631d, 78, 10586, No update data, 9g3qrr7u2x8c
Bird, MEX, 0e072fb4-261a-4445-af94-4a084fb2473b, 81, 11690, No update data, 9g3qx3epcc28
Bird, MEX, 0cea28f5-7ebb-4016-bf25-a883a08d2158, 55, 7348, No update data, 9g3qrr7sprz1
Bird, MEX, d444da05-24ab-400d-9fd9-3c7e35e92ec6, 71, 10020, No update data, 9g3qx92hsuzu
Bird, MEX, 32e222b0-acd1-4cef-b59c-af0238d4195d, 70, 9322, No update data, 9g3qrrm58zgy
Bird, MEX, e8285d41-3f5b-4910-a11e-d62040b8b218, 69, 9164, No update data, 9g3qx0rnexpc
Bird, MEX, beb97eb3-8b97-4d75-8a71-27c7a351191c, 97, 14362, No update data, 9g3qrr9948bn
Bird, MEX, ba08b0ac-b5e2-4ca1-b1fc-dbd068adaa8b, 100, 14062, No update data, 9g3qrr98g525
Bird, MEX, 7efa313b-b2d4-428e-9c13-9a6b08b5e3d7, 100, 14863, No update data, 9g3qrr98fg53
Bird, MEX, 87a3c59f-ad2b-437b-866b-02d34b28c68a, 60, 7742, No update data, 9g3qx89rxgrd
Bird, MEX, 45eecc90-326d-4000-b14a-f995400c5d2b, 25, 2338, No update data, 9g3qrx8pyhcm
Bird, MEX, c6223c71-f925-4904-920a-d205cdff2a6d, 66, 9185, No update data, 9g3qrx8py11q
Bird, MEX, 0ba1cf18-359b-434a-a0a6-90e6d4848d93, 85, 11692, No update data, 9g3qrxb0p7rq
Bird, MEX, 3ae2b625-cd6c-48f4-a479-30ccd5404085, 92, 12798, No update data, 9g3qrx8pyumc
Bird, MEX, c5fb4b9d-0cf3-4dd5-9a29-44dfff0a12e7, 58, 7426, No update data, 9g3qx833jxy4
Bird, MEX, ff21006b-8547-4524-ac33-65db37873889, 85, 12358, No update data, 9g3qrx8pzzdx
Bird, MEX, e3373e0b-31f8-433f-b042-36365542557a, 45, 5372, No update data, 9g3qx0rn21vr
Bird, MEX, 33c2d799-fa8c-4108-a031-5aba530e3786, 83, 12024, No update data, 9g3qx92jyh37
Bird, MEX, a59c3067-6ab2-4ceb-a341-0b4308a87c61, 81, 11690, No update data, 9g3qx838b8r0
Bird, MEX, effa76c8-97d9-4963-9056-192f9b95531f, 60, 8183, No update data, 9g3qrr3y32j7
Bird, MEX, f7467866-48be-4c92-b24d-af2177823acf, 99, 14696, No update data, 9g3qx0p2ujzg
Bird, MEX, ead8075d-4d61-4033-97fd-63f66016eea3, 73, 10354, No update data, 9g3qrrrpt1hg
Bird, MEX, b6f2c825-e187-470d-acc6-52c209bba442, 98, 14529, No update data, 9g3qx0p2gs39
Bird, MEX, 0f4f09c8-05c3-476d-92d2-7953abfe233e, 26, 2505, No update data, 9g3qx0qbxf6h
Bird, MEX, 74f538cc-176f-45bb-baf4-4562a9ee9a66, 91, 13360, No update data, 9g3qx3g4vjk9
Bird, MEX, f6f2fd60-e710-44b1-94af-1037d64edde1, 100, 14863, No update data, 9g3qx0p27pyk
Bird, MEX, a99fe4cf-b8c7-46e5-b1d1-31717d2bfc27, 79, 11356, No update data, 9g3qx81x407g
Bird, MEX, 5148dbf7-8f53-4838-9356-a4b16ddbb639, 100, 14863, No update data, 9g3qx0p32m5d
Bird, MEX, d6e10d0a-e03d-454c-88af-8b2bd5329e36, 100, 14863, No update data, 9g3qx0p30d88
Bird, MEX, bde2ae87-543f-4d21-bef5-89896d1b025d, 99, 14696, No update data, 9g3qx0p1yct8
Bird, MEX, 57b4ed04-63b9-4ac2-ac23-859b360ae0b6, 99, 14696, No update data, 9g3qx0p1y9f6
Bird, MEX, 589d8217-bddf-4bcf-a446-9457b4549a7a, 47, 6012, No update data, 9g3qx0qu962h
Bird, MEX, 3b865436-13c2-44c7-9770-41d266ab6dec, 99, 14696, No update data, 9g3qx0p1qquq
Bird, MEX, a84b983b-9df8-4fa0-81e3-6dde723e788f, 100, 14863, No update data, 9g3qx0p1v9vf
Bird, MEX, 4c966773-2965-4f36-91ff-3f6900cb8609, 100, 14863, No update data, 9g3qx0p4hvp8
Bird, MEX, 98c7e842-f86b-42c6-8cda-64957fb226b6, 99, 14696, No update data, 9g3qx0p1tgs5
Bird, MEX, 350b8308-d01c-4341-b9e8-5a19d8727967, 100, 14863, No update data, 9g3qx0p4kpxf
Bird, MEX, 8b60fa4a-6f3b-45ea-bbb6-52aee5a4d3d2, 73, 9796, No update data, 9g3qx89vh9gm
Bird, MEX, 8a353b43-cbc2-4ddc-b909-80443ed1bced, 73, 9796, No update data, 9g3qx92fucce
Bird, MEX, 0ad7bfc9-eab6-45db-8702-bfb9c4cbead6, 47, 5688, No update data, 9g3qrpzmkcxt
Bird, MEX, 7802a6aa-4737-4323-b62a-a2dfceffc097, 31, 3340, No update data, 9g3qx3fe73he
Bird, MEX, 0b4d2eaf-0de9-45b8-a36a-043a227d1c6b, 73, 10354, No update data, 9g3qrr8hrsu0
Bird, MEX, 6488434d-7087-4a68-ab67-e44ab3507857, 72, 10187, No update data, 9g3qrrqe10xh
Bird, MEX, 7899d631-2406-4e8f-a750-1257ffd1ba80, 43, 5056, No update data, 9g3qrr61b3g9
Bird, MEX, a1f4a197-5998-4af9-a763-b027e42ad8af, 35, 4008, No update data, 9g3qrr5qrgf6
Bird, MEX, 0e1a4c5b-f39b-4be0-a51d-98f9dd914271, 62, 8058, No update data, 9g3qrrqfqex8
Bird, MEX, 1162db80-7d70-4243-bcf3-936959a000e1, 80, 11523, No update data, 9g3qrr5q4s25
Bird, MEX, 739853a3-1612-40e7-97c5-da195f02078e, 25, 2338, No update data, 9g3qx860540r
Bird, MEX, 0dd5f0ca-cd5b-4d6e-b414-bd898861243e, 56, 7515, No update data, 9g3qx860m1uz
Bird, MEX, e6a03979-4e38-456b-94a6-81a52cf78b84, 88, 12166, No update data, 9g3qx0ns13bj
Bird, MEX, 87a6dffc-da71-443b-ba76-8ed11469aac2, 83, 11376, No update data, 9g3qx0nmr7pp
Bird, MEX, 697b1faa-17c7-4da9-9222-feaa21fb4dcd, 63, 8684, No update data, 9g3qrr4vwpp2
Bird, MEX, 2d4dabc9-7ec8-48e7-a582-2d08fa4f500a, 34, 3841, No update data, 9g3qrr2r65uf
Bird, MEX, 3f5980b9-d12d-41bd-a02b-eae9a98d8934, 48, 5846, No update data, 9g3qrr5uqcjb
Bird, MEX, 2ed0af24-de00-4390-88a1-12879d76aa94, 61, 7900, No update data, 9g3qrr4t3mj3
Bird, MEX, d1716045-ef5a-42bd-a380-e9c5342668db, 85, 12358, No update data, 9g3qrr4ucegx
Bird, MEX, ad3e91e4-a7c1-44cb-b366-1b1f2b963aad, 79, 10744, No update data, 9g3qx653482j
Bird, MEX, 5dccba45-d357-445f-8270-14a08dd12579, 51, 6680, No update data, 9g3qrr4th8h2
Bird, MEX, 2a2be72f-d59d-4030-8026-8281fe90858b, 84, 11534, No update data, 9g3qrrnqr1k4
Bird, MEX, 88211031-e918-403c-81c0-884863493478, 83, 11376, No update data, 9g3qx3zcpbxq
Bird, MEX, 2faac649-601d-4c39-920e-104d7e94064a, 34, 3841, No update data, 9g3qrx2rpcxd
Bird, MEX, 27076285-d75d-419f-8056-c73bf1137a85, 37, 4342, No update data, 9g3qrx2x0ys1
Bird, MEX, bfbea33c-63bd-45a2-96be-89b7736365c9, 49, 6004, No update data, 9g3qx86d0xbf
Bird, MEX, fffbe0bd-9d69-4c53-bad9-03e8483355f9, 29, 3006, No update data, 9g3qrx2x1mvm
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 100, 14863, No update data, 9g3qx93bus77
Bird, MEX, e9a8e2ca-2f89-49b5-9b53-55b59efa42d3, 29, 3006, No update data, 9g3qx8dxkfxg
Bird, MEX, 3796c596-2fbf-4c30-8924-e8f3e4f4cfb5, 53, 7014, No update data, 9g3qrr4k2htx
Bird, MEX, bec3c38b-28fe-49a5-90bf-39220c96ac03, 78, 10586, No update data, 9g3qrx2xp6x2
Bird, MEX, a76563c5-d3cc-4288-9a78-d2aaa2ff3a90, 48, 6179, No update data, 9g3qx8dxrdh2
Bird, MEX, df8adb99-4069-45a0-a668-d5c9b92abc45, 60, 7742, No update data, 9g3qrr2d8wnf
Bird, MEX, b6fdf372-2982-43a3-9676-2936d73ff2e8, 70, 9853, No update data, 9g3qrr29t0kx
Bird, MEX, ce469a65-c363-4f36-b8c8-c1b3da8989f1, 75, 10112, No update data, 9g3qrr29s5df
Bird, MEX, ec55d6b9-eb8a-40dc-920e-2f43dea84471, 66, 9185, No update data, 9g3qrr29kwk3
Bird, MEX, 4de85dfb-182d-4819-9fdb-154e40aa57c0, 79, 11356, No update data, 9g3qrr29kjzz
Bird, MEX, edbc9687-91a7-42a7-abed-9a842ba6d017, 70, 9853, No update data, 9g3qrr51c2jr
Bird, MEX, da336173-5b5c-4802-9c4c-708bc7b31b63, 42, 5177, No update data, 9g3qx8dz7hnt
Bird, MEX, 989bba3d-f02c-48a9-a902-fed33b148dc6, 69, 9686, No update data, 9g3qrx2zjdy4
Bird, MEX, a37e117a-da98-4aed-9ac8-d2827a1cea13, 26, 2505, No update data, 9g3qx6jex1s0
Bird, MEX, bd2045e1-13de-433d-b054-f938dc8862c2, 90, 13193, No update data, 9g3qrrhbxgfk
Bird, MEX, 6b596891-1af6-4485-bded-58853ea50efc, 65, 9018, No update data, 9g3qrr1gs7q0
Bird, MEX, 92be7c39-9069-42a1-a7c2-964caeb7db61, 84, 11534, No update data, 9g3qrrj07zhz
Bird, MEX, 2106761c-f1c3-4519-b70d-48a49d369f57, 60, 7742, No update data, 9g3qrrh8n193
Bird, MEX, d9a95fe6-6eb9-4316-a432-c203d47c504f, 73, 9796, No update data, 9g3qrr0yu5rg
Bird, MEX, b8708f39-9232-4f41-841c-e20c28043931, 56, 7110, No update data, 9g3qrrjcrhhh
Bird, MEX, 72b09e4b-256e-4b2b-af91-6c71d973b15d, 54, 7181, No update data, 9g3qx65t1hf0
Bird, MEX, 8c38d0da-b1e3-44c4-a44c-17c512771a86, 38, 4509, No update data, 9g3qx8e41wgu
Bird, MEX, b98b59f6-50c4-46b3-81ad-6641d1d69687, 25, 2212, No update data, 9g3qx6nd8pms
Bird, MEX, 3b1e5f34-ca8e-4444-965a-c1f9cfdae688, 31, 3340, No update data, 9g3qx8e43z2b
Bird, MEX, af55b129-f7ec-4ddd-b33b-2ffc963a21dc, 46, 5845, No update data, 9g3qx8e43c8y
Bird, MEX, 096e35db-d5af-4434-a761-255b80760745, 76, 10270, No update data, 9g3qx8e4et1v
Bird, MEX, 292f55d5-7f97-4a17-b0e1-7d24712862d8, 27, 2672, No update data, 9g3qrr483znx
Bird, MEX, 23cfb211-4cda-4129-883d-5ee53286b5dd, 37, 4342, No update data, 9g3qrr483kmm
Bird, MEX, 34dc427f-2724-46fd-9bfe-464b0b0035ee, 63, 8684, No update data, 9g3qrqgp702k
Bird, MEX, 0841b713-879f-4714-9595-70d621b17a78, 79, 10744, No update data, 9g3qrxfz7gv5
Bird, MEX, b312ca7d-790a-4620-b1c7-9bd615a1f002, 44, 5511, No update data, 9g3qrqyn2ch0
Bird, MEX, ec996dc3-d0e6-4d5c-9403-2f1c2541d8fa, 84, 11534, No update data, 9g3qrqyq8qgz
Bird, MEX, cfc2535a-a052-4b56-b42e-b5f6e09343ff, 55, 6952, No update data, 9g3qx1z1xmbf
Bird, MEX, 1392878c-59c2-4b8f-9bb4-0029518955e4, 42, 4898, No update data, 9g3qrpqvgms9
Bird, MEX, ce2c3e1d-3009-4582-bd31-159089e0c016, 71, 9480, No update data, 9g3qx952s15m
Bird, MEX, 02fae95f-208e-43ae-9d23-174e7757f850, 69, 9164, No update data, 9g3qx952kegk
Bird, MEX, 55d4e2c9-0e96-43fc-bb09-a4504e3f052d, 47, 6012, No update data, 9g3qx8gx1mme
Bird, MEX, babf7dc6-b390-4ba7-a0dd-027dbc37a9f1, 39, 4676, No update data, 9g3qrpptvwmy
Bird, MEX, e130482b-8e62-4227-94b4-3e6b6e40a190, 74, 10521, No update data, 9g3qrqu3uqqq
Bird, MEX, 15d9defc-ca6e-4a25-9e86-ec875b177ae2, 69, 9164, No update data, 9g3qx8geysrf
Bird, MEX, efcabba6-308a-4a92-abd6-87b31b28caa7, 73, 9796, No update data, 9g3qx9ckn3h8
Bird, MEX, 4d5bcbbb-34c6-4efd-8f41-60208765087f, 91, 12640, No update data, 9g3qrppt599d
Bird, MEX, c39d1d2f-3913-4d4b-a404-0fd4f489edb6, 72, 9638, No update data, 9g3qx9ckzn4z
Bird, MEX, 0549a80b-5131-43c4-8360-32671ba0827c, 43, 5056, No update data, 9g3qrx0d0hme
Bird, MEX, 4790ff36-683b-42dc-b656-d27723b1e2ba, 45, 5678, No update data, 9g3qrx09dkpn
Bird, MEX, 7141a055-57ad-4bbb-ad4f-d5be88d0f05e, 49, 6346, No update data, 9g3qrx0fytpy
Bird, MEX, 44505af1-afd9-4143-afc8-82a70b372abe, 37, 4342, No update data, 9g3qrx3crv6s
Bird, MEX, f3ba60a3-fed9-421d-adc6-355fccbb1864, 64, 8851, No update data, 9g3qrx64k857
Bird, MEX, 08cbcc8f-68b3-49ce-88bf-2d83e24323d5, 80, 10902, No update data, 9g3qrx0fn9zg
Bird, MEX, cc3b93c3-62d1-469f-9267-6486f22ad451, 66, 9185, No update data, 9g3qrqzshgpg
Bird, MEX, eb3e087f-102c-4277-852d-98086351f6bb, 62, 8517, No update data, 9g3qrx64nqs9
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 94, 13114, No update data, 9g3qrppb4hsv
Bird, MEX, b7e61a47-c970-4cb2-8fea-fd7e0e5b1da3, 91, 12640, No update data, 9g3qrxgyygwn
Bird, MEX, 009c0845-805a-4306-9634-9eabb53185d8, 63, 8684, No update data, 9g3qrxgyz7rk
Bird, MEX, f183556e-9102-42ad-9009-b8db86a48241, 64, 8851, No update data, 9g3qrpp8hdkr
Bird, MEX, 8a9ca3a2-4b73-491f-a635-c4acc14351d9, 52, 6847, No update data, 9g3qrxgyxyxw
Bird, MEX, 95f8f17b-2129-47a9-ba83-ba9bacf3c7af, 63, 8684, No update data, 9g3qrxun82ff
Bird, MEX, ed546bbb-0124-49ab-8806-92628e544978, 81, 11060, No update data, 9g3qrxun8d11
Bird, MEX, ec38ad86-709b-45de-a992-f777a12b9c87, 90, 12482, No update data, 9g3qrnzxgtcd
Bird, MEX, dbab25a0-13ed-4eda-a044-bd5b6a177dc4, 75, 10112, No update data, 9g3qrxun8bs0
Bird, MEX, 5f2ef285-08bb-46d1-a2b1-ca0a4b7133f6, 74, 10521, No update data, 9g3qrwbt9zyv
Bird, MEX, 0379019e-1b54-402e-a1d9-46bf10f83c73, 88, 12166, No update data, 9g3qrqekt8y0
Bird, MEX, 78909455-8ad4-4662-8d3e-469f7508bb49, 51, 6320, No update data, 9g3qrqek9440
Bird, MEX, 18b16be7-99bd-46bb-bef2-1c04d3058e58, 53, 7014, No update data, 9g3qrpnsp57v
Bird, MEX, c4d52255-5888-4130-8800-af4bab2e30fa, 70, 9853, No update data, 9g3qrqs7z7cn
Bird, MEX, 283fe95a-73cf-4659-953d-5984cf9aca7b, 33, 3674, No update data, 9g3qx9ep6y5d
Bird, MEX, 120149a3-5c1d-4722-b51b-968dc9a77e34, 21, 1580, No update data, 9g3qx1h01jcz
Bird, MEX, ff104568-8dca-45e2-9d75-283e71d7bfd0, 90, 12482, No update data, 9g3qrqxx21md
Bird, MEX, 791ef0fd-daec-4e8b-b53d-b9a4a71cac69, 62, 8517, No update data, 9g3qx8sg1cr1
Bird, MEX, cc1ddd04-6a37-4362-b843-d1d562aae074, 90, 12482, No update data, 9g3qrwcrndzc
Bird, MEX, 2dbf15c1-b790-4df8-8fe2-e0717cda8d6c, 30, 3173, No update data, 9g3qrpmdc281
Bird, MEX, ace32abc-2036-4130-b741-9dfc5ed97199, 100, 14863, No update data, 9g3qrqde4sth
Bird, MEX, 377122ad-7d4c-4f80-912c-6825438ae2f5, 69, 9686, No update data, 9g3qx9k39x6s
Bird, MEX, c49abb7a-5550-4689-a291-d1699ce4b430, 97, 14362, No update data, 9g3qrqde4g57
Bird, MEX, 370b3751-e0e2-43bb-aa5e-125d749c6612, 99, 14696, No update data, 9g3qrqde50bm
Bird, MEX, 5f2221a6-ce04-4340-99da-40e618bce8eb, 73, 9796, No update data, 9g3qx8suh1gm
Bird, MEX, 4b045bd0-c01c-40ac-b6b9-9a61ef6d3767, 85, 12358, No update data, 9g3qx8suhbqe
Bird, MEX, f04494f4-59db-4f99-9e45-ac26c79a9a45, 88, 12859, No update data, 9g3qx8suhfnx
Bird, MEX, 04a1215e-fe5b-46fb-a96a-fa20687dbdd3, 90, 12482, No update data, 9g3qx8sfjwyk
